model,fold,epoch,train_loss,validation_loss,validation_mean_rank_ic,selected
mlp,1,1,0.00129286335494,4.05903324741e-05,-0.0109478299249,False
mlp,1,2,0.000267093231962,2.35611389561e-05,-0.0083627237333,False
mlp,1,3,0.000169286222842,1.89949711652e-05,-0.0108366624389,False
mlp,1,4,0.000124464771507,1.70373739665e-05,-0.00628808056348,False
mlp,1,5,9.85436475164e-05,1.59425397398e-05,-0.0126041079929,False
mlp,1,6,8.15316858507e-05,1.54674077929e-05,-0.00593670635266,False
mlp,1,7,7.05344698473e-05,1.51178897543e-05,-0.00653104800166,False
mlp,1,8,6.26769804011e-05,1.46068634629e-05,-0.003438345536,True
mlp,2,1,0.000340450177315,2.29671329126e-05,0.00607370531381,False
mlp,2,2,6.14982060084e-05,2.17426630522e-05,0.00697177036826,False
mlp,2,3,4.30035375032e-05,2.14486840383e-05,0.00588370962707,False
mlp,2,4,3.62596918302e-05,2.13795403787e-05,0.0172338887555,False
mlp,2,5,3.28446222861e-05,2.13657212267e-05,0.0215412531459,True
mlp,2,6,3.0881066438e-05,2.13488268817e-05,0.0164395125655,False
mlp,2,7,2.9610285753e-05,2.12919542297e-05,0.0119774316582,False
mlp,3,1,0.000432254006207,1.5195079267e-05,0.000532315394387,False
mlp,3,2,6.88323508363e-05,1.31629195727e-05,0.00539961587803,False
mlp,3,3,4.47029696463e-05,1.27764445239e-05,0.00786603480282,False
mlp,3,4,3.62487006589e-05,1.26058815367e-05,0.0052254562689,False
mlp,3,5,3.20769119633e-05,1.24609500866e-05,0.0117705773225,True
mlp,3,6,2.96722303179e-05,1.23970551329e-05,-0.00648243594942,False
mlp,3,7,2.81340473638e-05,1.24058524868e-05,0.00507556909207,False
