model,cadence_bars,cadence_minutes,phase,phase_offset_minutes,sleeve_count,capital_fraction_per_sleeve,selected_cohorts,cost_bps,total_periods,total_gross_log_return,total_turnover,break_even_cost_bps,equal_weighted_gross_mean_return,pooled_gross_mean_return,equal_weighted_mean_turnover,pooled_mean_turnover,equal_weighted_net_mean_return,pooled_net_mean_return,equal_weighted_annualized_net_return,pooled_annualized_net_return,positive_sleeve_fraction,all_sleeves_positive
lightgbm,3,15,2,10,4,0.25,"2,5,8,11",10,17364,0.294030003506,5785.25,0.508240790814,1.6933310499e-05,1.69333104991e-05,0.333174959687,0.333174959687,-0.000316241649188,-0.000316241649188,-2.77027684688,-2.77027684688,0,False
lightgbm,6,30,0,0,2,0.5,"0,6",0,8682,0.153158072112,2945.75,0.519928955656,1.76408744659e-05,1.76408744658e-05,0.339293941488,0.339293941488,1.76408744659e-05,1.76408744658e-05,0.154534060321,0.154534060321,0.5,False
lightgbm,6,30,0,0,2,0.5,"0,6",1,8682,0.153158072112,2945.75,0.519928955656,1.76408744659e-05,1.76408744658e-05,0.339293941488,0.339293941488,-1.6288519683e-05,-1.6288519683e-05,-0.142687432423,-0.142687432423,0.5,False
lightgbm,6,30,0,0,2,0.5,"0,6",2,8682,0.153158072112,2945.75,0.519928955656,1.76408744659e-05,1.76408744658e-05,0.339293941488,0.339293941488,-5.02179138318e-05,-5.02179138318e-05,-0.439908925166,-0.439908925167,0,False
lightgbm,6,30,0,0,2,0.5,"0,6",5,8682,0.153158072112,2945.75,0.519928955656,1.76408744659e-05,1.76408744658e-05,0.339293941488,0.339293941488,-0.000152006096278,-0.000152006096278,-1.3315734034,-1.3315734034,0,False
lightgbm,6,30,0,0,2,0.5,"0,6",10,8682,0.153158072112,2945.75,0.519928955656,1.76408744659e-05,1.76408744658e-05,0.339293941488,0.339293941488,-0.000321653067022,-0.000321653067022,-2.81768086711,-2.81768086712,0,False
lightgbm,6,30,1,5,2,0.5,"1,7",0,8682,0.0929662118852,2938.75,0.316346105947,1.07079258104e-05,1.07079258103e-05,0.33848767565,0.338487675651,1.07079258104e-05,1.07079258103e-05,0.0938014300988,0.0938014300984,0.5,False
lightgbm,6,30,1,5,2,0.5,"1,7",1,8682,0.0929662118852,2938.75,0.316346105947,1.07079258104e-05,1.07079258103e-05,0.33848767565,0.338487675651,-2.31408417547e-05,-2.31408417548e-05,-0.202713773771,-0.202713773772,0,False
lightgbm,6,30,1,5,2,0.5,"1,7",2,8682,0.0929662118852,2938.75,0.316346105947,1.07079258104e-05,1.07079258103e-05,0.33848767565,0.338487675651,-5.69896093197e-05,-5.69896093198e-05,-0.499228977641,-0.499228977642,0,False
lightgbm,6,30,1,5,2,0.5,"1,7",5,8682,0.0929662118852,2938.75,0.316346105947,1.07079258104e-05,1.07079258103e-05,0.33848767565,0.338487675651,-0.000158535912015,-0.000158535912015,-1.38877458925,-1.38877458925,0,False
lightgbm,6,30,1,5,2,0.5,"1,7",10,8682,0.0929662118852,2938.75,0.316346105947,1.07079258104e-05,1.07079258103e-05,0.33848767565,0.338487675651,-0.00032777974984,-0.00032777974984,-2.8713506086,-2.8713506086,0,False
lightgbm,6,30,2,10,2,0.5,"2,8",0,8682,0.0733646532179,2906.75,0.252394093809,8.45020193711e-06,8.4502019371e-06,0.334801888966,0.334801888966,8.45020193711e-06,8.4502019371e-06,0.0740237689691,0.074023768969,1,True
lightgbm,6,30,2,10,2,0.5,"2,8",1,8682,0.0733646532179,2906.75,0.252394093809,8.45020193711e-06,8.4502019371e-06,0.334801888966,0.334801888966,-2.50299869594e-05,-2.50299869595e-05,-0.219262685765,-0.219262685765,0,False
lightgbm,6,30,2,10,2,0.5,"2,8",2,8682,0.0733646532179,2906.75,0.252394093809,8.45020193711e-06,8.4502019371e-06,0.334801888966,0.334801888966,-5.8510175856e-05,-5.8510175856e-05,-0.512549140498,-0.512549140499,0,False
lightgbm,6,30,2,10,2,0.5,"2,8",5,8682,0.0733646532179,2906.75,0.252394093809,8.45020193711e-06,8.4502019371e-06,0.334801888966,0.334801888966,-0.000158950742546,-0.000158950742546,-1.3924085047,-1.3924085047,0,False
lightgbm,6,30,2,10,2,0.5,"2,8",10,8682,0.0733646532179,2906.75,0.252394093809,8.45020193711e-06,8.4502019371e-06,0.334801888966,0.334801888966,-0.000326351687028,-0.000326351687029,-2.85884077837,-2.85884077837,0,False
lightgbm,6,30,3,15,2,0.5,"3,9",0,8682,0.169092134901,2889.5,0.585195137225,1.94761731055e-05,1.94761731054e-05,0.332815019581,0.332815019581,1.94761731055e-05,1.94761731054e-05,0.170611276404,0.170611276403,0.5,False
lightgbm,6,30,3,15,2,0.5,"3,9",1,8682,0.169092134901,2889.5,0.585195137225,1.94761731055e-05,1.94761731054e-05,0.332815019581,0.332815019581,-1.38053288526e-05,-1.38053288527e-05,-0.120934680749,-0.120934680749,0.5,False
lightgbm,6,30,3,15,2,0.5,"3,9",2,8682,0.169092134901,2889.5,0.585195137225,1.94761731055e-05,1.94761731054e-05,0.332815019581,0.332815019581,-4.70868308107e-05,-4.70868308107e-05,-0.412480637902,-0.412480637902,0,False
lightgbm,6,30,3,15,2,0.5,"3,9",5,8682,0.169092134901,2889.5,0.585195137225,1.94761731055e-05,1.94761731054e-05,0.332815019581,0.332815019581,-0.000146931336685,-0.000146931336685,-1.28711850936,-1.28711850936,0,False
lightgbm,6,30,3,15,2,0.5,"3,9",10,8682,0.169092134901,2889.5,0.585195137225,1.94761731055e-05,1.94761731054e-05,0.332815019581,0.332815019581,-0.000313338846476,-0.000313338846475,-2.74484829513,-2.74484829512,0,False
lightgbm,6,30,4,20,2,0.5,"4,10",0,8682,0.0163694103034,2895,0.056543731618,1.88544232935e-06,1.88544232935e-06,0.333448514167,0.333448514167,1.88544232935e-06,1.88544232935e-06,0.0165164748051,0.0165164748051,0.5,False
