model,fold,regime_dimension,regime,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
lightgbm,1,volatility,low,0.5,6066,12,-0.077520200918,2293.5,0.378090999011,-0.337999567988,-1.27794594326e-05,-3.16840093831e-05,-3.17462744289e-05,-0.277551922196,-0.278097363997,-0.933932439714,0.367182228987,0.25
lightgbm,1,volatility,low,1,6066,12,-0.077520200918,2293.5,0.378090999011,-0.337999567988,-1.27794594326e-05,-5.05885593337e-05,-5.06510270434e-05,-0.443155779763,-0.4437029969,-1.097218154,0.207969228987,0.25
lightgbm,1,volatility,medium,0,5597,12,-0.729406384229,2795.75,0.499508665356,-2.60898286409,-0.000130320954838,-0.000130320954838,-0.000130660598292,-1.14161156438,-1.14458684104,-1.82426271303,-0.621460201613,0
lightgbm,1,volatility,medium,0.5,5597,12,-0.729406384229,2795.75,0.499508665356,-2.60898286409,-0.000130320954838,-0.000155296388106,-0.000155640045146,-1.36039635981,-1.36340679548,-2.0475382011,-0.847601505961,0
lightgbm,1,volatility,medium,1,5597,12,-0.729406384229,2795.75,0.499508665356,-2.60898286409,-0.000130320954838,-0.000180271821374,-0.000180619492,-1.57918115523,-1.58222674992,-2.27081368917,-1.07374281031,0
lightgbm,2,direction,down,0,5244,12,-0.110758234032,1878,0.358123569794,-0.589766954375,-2.11209447048e-05,-2.11209447048e-05,-2.06547581497e-05,-0.185019475614,-0.180935681392,-1.60561770075,0.807056900449,0.416666666667
lightgbm,2,direction,down,0.5,5244,12,-0.110758234032,1878,0.358123569794,-0.589766954375,-2.11209447048e-05,-3.90271231945e-05,-3.85644388843e-05,-0.341877599183,-0.337824484627,-1.75366366488,0.647369400449,0.25
lightgbm,2,direction,down,1,5244,12,-0.110758234032,1878,0.358123569794,-0.589766954375,-2.11209447048e-05,-5.69333016842e-05,-5.64741196189e-05,-0.498735722753,-0.494713287861,-1.901709629,0.487681900449,0.166666666667
lightgbm,2,direction,flat,0,7283,12,-0.156452560768,1556.5,0.213716874914,-1.00515618868,-2.14818839445e-05,-2.14818839445e-05,-2.14490585323e-05,-0.188181303353,-0.187893752743,-0.683610875353,0.490201826987,0.25
lightgbm,2,direction,flat,0.5,7283,12,-0.156452560768,1556.5,0.213716874914,-1.00515618868,-2.14818839445e-05,-3.21677276902e-05,-3.21321895159e-05,-0.281789294566,-0.281477980159,-0.773974953023,0.394813572501,0.25
