model,fold,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
lightgbm,1,0,16980,12,-0.758234424575,9445.25,0.556257361602,-0.802767978163,-4.46545597512e-05,-4.46545597512e-05,-4.46545597512e-05,-0.39117394342,-0.39117394342,-0.823531489054,0.0102368228332,0.0833333333333
lightgbm,1,0.5,16980,12,-0.758234424575,9445.25,0.556257361602,-0.802767978163,-4.46545597512e-05,-7.24674278313e-05,-7.24674278313e-05,-0.634814667802,-0.634814667802,-1.06559226644,-0.228109466919,0
lightgbm,1,1,16980,12,-0.758234424575,9445.25,0.556257361602,-0.802767978163,-4.46545597512e-05,-0.000100280295911,-0.000100280295911,-0.878455392183,-0.878455392183,-1.30765304382,-0.466455756672,0
lightgbm,2,0,17556,12,0.214639802997,5298.75,0.301819890636,0.405076297234,1.2226008373e-05,1.2226008373e-05,1.2226008373e-05,0.107099833348,0.107099833348,-0.137749426001,0.359979943481,0.583333333333
lightgbm,2,0.5,17556,12,0.214639802997,5298.75,0.301819890636,0.405076297234,1.2226008373e-05,-2.86498615875e-06,-2.86498615875e-06,-0.0250972787507,-0.0250972787507,-0.269329056897,0.228325466379,0.5
lightgbm,2,1,17556,12,0.214639802997,5298.75,0.301819890636,0.405076297234,1.2226008373e-05,-1.79559806905e-05,-1.79559806905e-05,-0.157294390849,-0.157294390849,-0.400908687792,0.0966709892769,0.25
lightgbm,3,0,17556,12,1.26921045429,2710.25,0.154377420825,4.68300139945,7.22949677766e-05,7.22949677766e-05,7.22949677766e-05,0.633303917723,0.633303917723,0.126593227494,1.19067263272,1
lightgbm,3,0.5,17556,12,1.26921045429,2710.25,0.154377420825,4.68300139945,7.22949677766e-05,6.45760967354e-05,6.45760967354e-05,0.565686607402,0.565686607402,0.0580341024085,1.12084112213,1
lightgbm,3,1,17556,12,1.26921045429,2710.25,0.154377420825,4.68300139945,7.22949677766e-05,5.68572256941e-05,5.68572256941e-05,0.49806929708,0.49806929708,-0.010525022677,1.05100961153,0.916666666667
mlp,1,0,16980,12,0.447169530695,25508.5,1.50226737338,0.175302166217,2.63350724791e-05,2.63350724791e-05,2.63350724791e-05,0.230695234917,0.230695234917,-0.358766932277,0.693935144752,0.833333333333
mlp,1,0.5,16980,12,0.447169530695,25508.5,1.50226737338,0.175302166217,2.63350724791e-05,-4.877829619e-05,-4.877829619e-05,-0.427297874624,-0.427297874624,-1.02087435277,0.0328337313247,0.0833333333333
mlp,1,1,16980,12,0.447169530695,25508.5,1.50226737338,0.175302166217,2.63350724791e-05,-0.000123891664859,-0.000123891664859,-1.08529098416,-1.08529098416,-1.68298177327,-0.628267682103,0
