model,split,mean_fold_rank_ic,worst_fold_rank_ic,best_fold_rank_ic,mean_rank_ic_ir,mean_positive_timestamp_fraction,mean_rmse,mean_mae,total_rows
lightgbm,test,0.0149247748934,0.00768789005183,0.0190117667719,0.0469155698065,0.514690245843,0.00434863515676,0.00280840368935,1041840
lightgbm,validation,0.00293605042408,-0.00786004688747,0.0121261829357,0.0116028609079,0.50530745668,0.00395638405118,0.00265608898536,511920
momentum_12,test,-0.044014725357,-0.0552763368761,-0.037463199245,-0.142595781412,0.442693721669,0.00881360136936,0.00592577706745,1041840
momentum_12,validation,-0.0365166871361,-0.0531551516783,-0.027607646679,-0.12130554353,0.449766684281,0.00855612813925,0.00581316836232,511920
reversal_12,test,0.044014725357,0.037463199245,0.0552763368761,0.142595781412,0.555984591525,0.00873154047345,0.00582921194962,1041840
reversal_12,validation,0.0365166871361,0.027607646679,0.0531551516783,0.12130554353,0.548289403374,0.00850137253503,0.00572703474927,511920
ridge,test,0.00973262160648,0.00479595697445,0.0128773030312,0.0340566960587,0.512616091573,0.004351185132,0.00281004599655,1041840
ridge,validation,0.0107872361822,0.0056909990576,0.0136933471269,0.0387392102722,0.514331771929,0.00396076079007,0.00265812599751,511920
