model,top_count,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return,selected_symbol_count
reversal_12,3,0,12,52092,3.64264892515,3.44429414519,2.39257078095,4.76090550797,0.943009692901,0.910758557514,0.617204832871,1.22413005475,0.258927741493,0.538527988943,1.62799150221,0.467306515626,6
ridge,3,0,12,52092,1.89461944032,1.53759155429,0.481731347411,3.95487710462,0.469014788282,0.382981191925,0.117805485225,0.981416095848,0.24744893676,0.506872456423,1.48156466764,0.232419314604,6
tcn,3,0,12,52092,-0.185814930382,0.100904245954,-1.96606277725,1.8563245621,-0.0402578435458,0.0224702817492,-0.425544214624,0.398074392519,0.215106623759,0.505029563081,1.50456883975,-0.0199496916475,6
transformer,3,0,12,52092,1.08625611538,1.49631925069,-0.256478000115,1.81274916692,0.260214840405,0.356838948231,-0.0598737104602,0.44049497654,0.237946553671,0.510654227137,1.13073024649,0.128948929475,6
lightgbm,4,0,12,52092,0.565060290416,0.391343443912,-0.448718158789,1.87504666544,0.122022473595,0.0832461418537,-0.0964397831151,0.405507903756,0.214157560874,0.515050295631,0.335065845043,0.060467986059,8
mlp,4,0,12,52092,0.40095740803,0.440808391788,-1.04476990182,1.64344595686,0.0686198616738,0.0752227179587,-0.180979713215,0.279082115235,0.171812006729,0.508350610458,1.48619749674,0.0340044314527,8
momentum_12,4,0,12,52092,-3.75816094707,-3.61321973572,-5.1860844047,-2.6995881796,-0.823077061156,-0.78310912945,-1.12494919095,-0.591057595551,0.219165722929,0.461452814252,1.55794075866,-0.407874146401,8
reversal_12,4,0,12,52092,3.75254554069,3.61553547665,2.66356189269,5.14213552596,0.821781783184,0.778774132575,0.583313703515,1.11464335583,0.219158723266,0.538566382554,1.55781597942,0.407232274064,8
ridge,4,0,12,52092,1.81620408084,1.7047254669,-0.222829205022,3.68510347062,0.382950661798,0.359860968479,-0.0469642157729,0.783405846692,0.210577603533,0.506123781003,1.39317457575,0.189770413569,8
tcn,4,0,12,52092,-0.292556512614,-0.128721543539,-2.05142230484,1.37999878542,-0.0536842065291,-0.0241008290149,-0.365808756567,0.247991062742,0.184077251646,0.501516547646,1.40961184059,-0.0266030982355,8
transformer,4,0,12,52092,1.14697552526,1.35348754962,-0.700095776308,1.92660068344,0.238611104701,0.282527966436,-0.143537675956,0.399494956363,0.207319597261,0.508561775321,1.00893131383,0.118243242638,8
lightgbm,5,0,12,52092,0.992609569723,0.988617465097,0.00329628086234,1.91569281854,0.186420264454,0.182785842623,0.000613105910076,0.362465396687,0.187046220144,0.514416801044,0.306104584197,0.0923801789949,10
mlp,5,0,12,52092,0.457633917824,0.494341299194,-0.974841739875,2.24764650753,0.0714117316414,0.0764689576306,-0.146107208102,0.343577984539,0.154178217005,0.510308684635,1.38367887584,0.0353879368785,10
momentum_12,5,0,12,52092,-3.84357599876,-3.73246990824,-4.9884161894,-3.18283808655,-0.740892366986,-0.722523881335,-0.958388348256,-0.60866634013,0.192793146675,0.463238117177,1.48350610458,-0.367147690078,10
reversal_12,5,0,12,52092,3.84128720469,3.7393476034,3.18442128477,5.02611135169,0.740539029628,0.723692768052,0.609298749872,0.965417055998,0.192818032368,0.536877063657,1.48348690778,0.366972594477,10
ridge,5,0,12,52092,1.60701128357,1.67449608105,0.105292560213,3.35249735551,0.297672776587,0.314629633713,0.0193838426884,0.629461250494,0.184966172901,0.504933579052,1.30516778008,0.147511132781,10
tcn,5,0,12,52092,-0.362006464982,-0.195743017485,-2.32325111265,1.44371336559,-0.0591582874852,-0.03207964101,-0.380748009706,0.226407526028,0.162361972345,0.500383936113,1.32003378638,-0.0293157678052,10
transformer,5,0,12,52092,1.23380175376,1.43501939829,-0.124711397197,2.07865308186,0.230117931133,0.270521967924,-0.0230600278226,0.383415706215,0.186633949984,0.511153344084,0.907091300008,0.114034467928,10
lightgbm,6,0,12,52092,1.19263724729,1.14351823221,-0.177891886161,2.33796748803,0.196924733427,0.187904644796,-0.0292638216704,0.388234891492,0.164688222199,0.516355678415,0.269321584888,0.0975856470101,12
mlp,6,0,12,52092,0.591796728526,0.61871469135,-0.986541704274,2.06991268352,0.0828881872371,0.0867333417005,-0.140194678611,0.286318164179,0.13988674792,0.51090378561,1.28461823952,0.0410750708671,12
momentum_12,6,0,12,52092,-3.95678502394,-3.91858826883,-5.21966130904,-2.63312057171,-0.683347427241,-0.675661266307,-0.895730893675,-0.449410787907,0.172805772642,0.461875143976,1.40518057795,-0.338631413431,12
reversal_12,6,0,12,52092,3.94851041929,3.92798000141,2.62529098654,5.1751142848,0.68181315975,0.677265786026,0.448106866781,0.887712562596,0.172784764323,0.538201643247,1.40512938647,0.337871110328,12
ridge,6,0,12,52092,1.48769228666,1.45377565722,-0.557897153687,3.55710880399,0.247253777587,0.245683959664,-0.0908354706064,0.594683876438,0.165485599438,0.503513015434,1.21847564565,0.122526101428,12
tcn,6,0,12,52092,-0.203905243269,-0.282469585106,-1.70117564858,2.22564475141,-0.0301612313806,-0.0413990407608,-0.249481523703,0.315377103524,0.146617257579,0.500844659449,1.23021449231,-0.0149463362355,12
transformer,6,0,12,52092,1.18846560927,1.14597909809,0.192156756677,2.10899729867,0.202470761808,0.194614506058,0.0325387214932,0.36496354954,0.170464330612,0.512785072564,0.820141928383,0.100333969978,12
lightgbm,8,0,12,52092,1.53548695333,1.1590080161,0.496785715147,2.85255058774,0.192608763811,0.146015835495,0.0619171285458,0.358067611295,0.125128307875,0.514378407433,0.240790332489,0.0954468771352,16
mlp,8,0,12,52092,0.401859693489,0.571815589141,-0.96919395155,1.45626606836,0.0476497948711,0.0659498221414,-0.114471404207,0.175212590666,0.118675636374,0.507563541427,1.09353883514,0.0236127579378,16
momentum_12,8,0,12,52092,-3.94891538551,-4.15090198058,-5.57607691874,-2.84546435397,-0.561996260331,-0.589208985555,-0.788764923437,-0.398400240283,0.142382738039,0.46494663288,1.23136470091,-0.27849609202,16
reversal_12,8,0,12,52092,3.94910035386,4.14950014871,2.88603209601,5.54961000834,0.561862511373,0.588913953824,0.410156982098,0.784794315754,0.142352460336,0.535034170314,1.23137909852,0.278429812999,16
ridge,8,0,12,52092,1.5339474259,1.52825335491,-0.127666183078,3.91884159864,0.210517086476,0.215934253584,-0.017128275902,0.53561042742,0.136642594609,0.505970206558,1.04689779621,0.104321309634,16
tcn,8,0,12,52092,-0.142698895637,-0.100523741615,-1.7986658307,2.3065658895,-0.0187336190591,-0.012213202034,-0.225048953777,0.276372933418,0.123722703747,0.500710281809,1.05432695999,-0.00928340643101,16
transformer,8,0,12,52092,1.1495346276,1.38466831678,-0.157298926837,1.97208859299,0.165462455611,0.196755791213,-0.0227081861971,0.282214284097,0.144463279242,0.510961376027,0.678364720111,0.0819945798866,16
lightgbm,10,0,12,52092,1.2968413393,1.23230967136,0.0885670226919,2.48402209796,0.134539425224,0.127375521841,0.00922569335305,0.255813133,0.103713747524,0.515664593412,0.200737157337,0.066670735719,20
mlp,10,0,12,52092,0.043582895785,0.116553760641,-1.03862920051,0.781600015195,0.00461198419814,0.0119465828048,-0.107857247137,0.0815834015541,0.103857299929,0.505432695999,0.909832603855,0.00228545929271,20
momentum_12,10,0,12,52092,-3.851111269,-3.59667607821,-5.85886353286,-2.66209878041,-0.459794471158,-0.432921449461,-0.693840763253,-0.318122044336,0.119505096329,0.467653382477,1.03441987253,-0.227850205399,20
reversal_12,10,0,12,52092,3.8343477302,3.572757878,2.59791450022,5.88157888797,0.457902898556,0.430084537937,0.310897118175,0.697101681178,0.11952868901,0.532097059049,1.0345811257,0.226912840483,20
ridge,10,0,12,52092,1.39432938885,1.22230093206,-0.377137682102,4.87571216152,0.162607569489,0.137603763101,-0.0433172139139,0.567719243527,0.11608182293,0.506104584197,0.872594640252,0.080579846935,20
tcn,10,0,12,52092,-0.262734186033,-0.290712185436,-1.85813184987,1.52906705655,-0.0287242817379,-0.0323290014847,-0.201141309487,0.159449719198,0.107256808803,0.500825462643,0.878388236197,-0.0142342587927,20
transformer,10,0,12,52092,1.11674124096,1.1269541018,-0.245376576303,2.79344918235,0.137244928971,0.140952845425,-0.0302702677618,0.341274212848,0.123310348466,0.510327881441,0.560350917607,0.0680114425414,20
lightgbm,1,0.25,12,52092,-0.721380128696,-0.711458560743,-2.24597811839,0.350660509473,-0.307171082289,-0.298553808635,-0.960203907907,0.147487549355,0.425284406164,0.514263226599,0.701988789065,-0.152217998655,2
mlp,1,0.25,12,52092,-1.27318081653,-1.08745249093,-3.03667079296,-0.0743031491699,-0.439002661091,-0.385325466383,-1.05756123915,-0.0262235611967,0.343119330807,0.500230361668,1.83346771097,-0.217546866644,2
momentum_12,1,0.25,12,52092,-2.93229280278,-2.82316484699,-4.2859422112,-1.77248270774,-1.49525161883,-1.45177643826,-2.1677801241,-0.918128482247,0.510808762388,0.456903171312,1.7792175382,-0.740968867275,2
reversal_12,1,0.25,12,52092,1.41133266262,1.25047129395,0.266197956909,2.75416383711,0.718359836097,0.643265232411,0.137902235837,1.39280364841,0.510821274849,0.531885894187,1.77904476695,0.355981740696,2
ridge,1,0.25,12,52092,0.733796870991,0.863198422768,-2.23654755192,3.2958031351,0.330538091786,0.39911344275,-1.03740818105,1.48381856101,0.461976732308,0.497811564156,1.67872226062,0.163797472196,2
tcn,1,0.25,12,52092,-1.40814307515,-1.58696156644,-2.05873970674,-0.0577427609309,-0.568115886652,-0.646002365313,-0.793455980492,-0.0232458372591,0.403201722333,0.495507947478,1.7635721416,-0.281528660269,2
transformer,1,0.25,12,52092,-0.700052927233,-0.910022307058,-2.33499589,0.770405326578,-0.286363643985,-0.377001417182,-0.952206923757,0.32232193107,0.413441917756,0.503954541964,1.4639867926,-0.141906915358,2
lightgbm,2,0.25,12,52092,0.19630575011,0.340010024287,-0.845467924301,1.22305751945,0.0580444598419,0.101046604556,-0.248317250197,0.361317600939,0.293774405135,0.505586270445,0.521961145665,0.0287638128052,4
mlp,2,0.25,12,52092,-1.86903193758,-1.79221718573,-3.17603883701,-0.93562730044,-0.452577113475,-0.42487437083,-0.76090985318,-0.236459964366,0.242563861908,0.49880979805,1.70920678799,-0.22427365863,4
momentum_12,2,0.25,12,52092,-4.18930197005,-4.29163630828,-5.70143588997,-2.80100084644,-1.38362313204,-1.41884791096,-1.86171124282,-0.939410722883,0.330537329267,0.455847347001,1.69691123397,-0.685651600019,4
reversal_12,2,0.25,12,52092,1.95399698331,2.08188268114,0.578961073133,3.46296187564,0.644916606638,0.682247158187,0.194149299909,1.13074654222,0.330508206085,0.530542117792,1.69685364355,0.319587099249,4
ridge,2,0.25,12,52092,0.887693262561,0.64513715109,-0.746389374112,3.51034740395,0.274223754174,0.200128772359,-0.233563154755,1.08370402943,0.309646422989,0.496582968594,1.57678722261,0.135891017908,4
tcn,2,0.25,12,52092,-1.49227158278,-1.59479701803,-3.11456597851,-0.123160597184,-0.402631673496,-0.437050596935,-0.827713008017,-0.0322045938179,0.269737563603,0.495565537894,1.614134608,-0.199523298476,4
transformer,2,0.25,12,52092,-0.261617761522,-0.629279001274,-2.72247827196,1.75413661019,-0.0731007843906,-0.180933577193,-0.778061758823,0.499096057427,0.287759284445,0.505010366275,1.27928472702,-0.0362249434977,4
lightgbm,3,0.25,12,52092,0.876095181875,0.775106172613,-0.0761997097199,2.13393194032,0.220702160603,0.19349201556,-0.0193319541054,0.541542407925,0.25158572493,0.516163710359,0.398775243799,0.109368502189,6
mlp,3,0.25,12,52092,-1.72801606855,-1.89605744983,-3.10680160221,-0.240225999103,-0.340766305684,-0.361793959313,-0.615990853792,-0.047137050447,0.197650290056,0.498886585272,1.59520335816,-0.168866042577,6
momentum_12,3,0.25,12,52092,-5.01617101701,-4.7882959069,-6.10833654386,-3.77497503479,-1.29882855733,-1.26626905102,-1.57513994975,-0.973865763541,0.258983200945,0.453217384627,1.62787632138,-0.64363182276,6
reversal_12,3,0.25,12,52092,2.26546288955,2.09898380401,1.014310308,3.35390377133,0.586479553916,0.554982353875,0.261638834253,0.86800911487,0.258918348207,0.53019657529,1.62799150221,0.290628737848,6
ridge,3,0.25,12,52092,0.583095292738,0.243977493686,-0.842049841851,2.64448741934,0.144552126069,0.0607621179789,-0.205910248477,0.656186885989,0.247455192628,0.497542808877,1.48156466764,0.0716325090486,6
tcn,3,0.25,12,52092,-1.71843013552,-1.4206553843,-3.48394342547,0.319870960656,-0.36975841945,-0.306219623269,-0.754052622824,0.0685906330165,0.215103625162,0.4955847347,1.50456883975,-0.183233024981,6
transformer,3,0.25,12,52092,0.0452511622204,0.449557643636,-1.3186484323,0.805540622239,0.0125849164243,0.107064933027,-0.307848370677,0.195749065459,0.23796162202,0.504684020579,1.13073024649,0.00623642947466,6
lightgbm,4,0.25,12,52092,0.2224067685,0.0513601980704,-0.79894634466,1.53608612717,0.0486430535307,0.0109335122752,-0.171722609653,0.332179983922,0.21415900224,0.513476157567,0.335065845043,0.0241049652257,8
mlp,4,0.25,12,52092,-1.49483933524,-1.44446968423,-2.92710977886,-0.258757457292,-0.256857390112,-0.249493591647,-0.507070763664,-0.0439441459954,0.171811883748,0.497216463181,1.48619749674,-0.127285151881,8
momentum_12,4,0.25,12,52092,-5.31485613341,-5.17963192859,-6.76507049197,-4.25915983062,-1.1642660873,-1.12403224624,-1.46756235611,-0.932598715109,0.219179911237,0.452027182677,1.55794075866,-0.576949667235,8
reversal_12,4,0.25,12,52092,2.19569350567,2.03313604693,1.10396493091,3.56167771494,0.480620083691,0.437914077288,0.241747359355,0.772004966055,0.219146794914,0.528353681947,1.55781597942,0.238170294897,8
ridge,4,0.25,12,52092,0.366994546648,0.279357601787,-1.67695916509,2.24755454761,0.0778454297087,0.0590071329574,-0.353380076174,0.477784561274,0.210582448698,0.496371803732,1.39317457575,0.0385761427358,8
tcn,4,0.25,12,52092,-1.97050929456,-1.7908396125,-3.78715360137,-0.33484183314,-0.362389199618,-0.333291395705,-0.675390304597,-0.0601779075413,0.184079216101,0.490132841895,1.40961184059,-0.179581223235,8
transformer,4,0.25,12,52092,0.0808946325051,0.288794489303,-1.77973227859,0.867091114651,0.0176551469727,0.0602424619438,-0.364946625506,0.179813892092,0.207338396099,0.502284419873,1.00893131383,0.00874897180464,8
lightgbm,5,0.25,12,52092,0.634169807152,0.631734410011,-0.358362370962,1.56215381855,0.119383360515,0.116803327073,-0.0666558643733,0.29554957084,0.187047018568,0.51280426937,0.306104584197,0.0591601789949,10
mlp,5,0.25,12,52092,-1.5091824244,-1.45264311328,-3.00855615998,0.277516320562,-0.231613942166,-0.226816529584,-0.450911216395,0.0424264987064,0.154180323979,0.498733010827,1.38367887584,-0.114775813122,10
momentum_12,5,0.25,12,52092,-5.52854183388,-5.41924449603,-6.68625511885,-4.83459669128,-1.06578020389,-1.04691731603,-1.28464335862,-0.932600687055,0.19280975428,0.453121400599,1.48350610458,-0.528145190078,10
reversal_12,5,0.25,12,52092,2.15624281041,2.0633032951,1.49223760982,3.32732701685,0.415655396824,0.399314468121,0.285424941994,0.639091416744,0.192803984536,0.526338017354,1.48348690778,0.20597717781,10
ridge,5,0.25,12,52092,0.0613158897417,0.175331703913,-1.46080885371,1.82452378535,0.0118410327489,0.0329464961875,-0.268893005964,0.342556620224,0.184968451894,0.495411963449,1.30516778008,0.00586779944784,10
tcn,5,0.25,12,52092,-2.14376001149,-1.96177254991,-4.09606584405,-0.40215465223,-0.348245686702,-0.321123317582,-0.671274892913,-0.0630700137091,0.162362254954,0.489499347309,1.32003378638,-0.172572434472,10
transformer,5,0.25,12,52092,0.16917930051,0.375636246282,-1.1924554752,0.997819078175,0.0314649364313,0.0708591482975,-0.220538396862,0.184100986104,0.186654780877,0.504645626968,0.907091300008,0.0155923845945,10
lightgbm,6,0.25,12,52092,0.834479393439,0.787002654002,-0.536809034776,1.97762590131,0.137943306337,0.129362546201,-0.0883062082173,0.32836850126,0.164688597695,0.51457037549,0.269321584888,0.0683575220101,12
mlp,6,0.25,12,52092,-1.42051191736,-1.37258965293,-2.96128059843,0.0462069701279,-0.198443207219,-0.195496328882,-0.420801566425,0.00639234063581,0.139889324133,0.498924978884,1.28461823952,-0.0983381235773,12
momentum_12,6,0.25,12,52092,-5.73732505526,-5.70095839106,-7.02282034065,-4.43096446267,-0.991081973813,-0.983069294411,-1.2052704007,-0.756326936259,0.172825942037,0.451681640175,1.40518057795,-0.491128635653,12
reversal_12,6,0.25,12,52092,2.16735829485,2.14524125141,0.827243971758,3.37068697034,0.374089824113,0.369887186625,0.141190718428,0.578147830968,0.172767424426,0.527221070414,1.40512938647,0.185379443661,12
ridge,6,0.25,12,52092,-0.125440356057,-0.120260916961,-2.20600261192,1.95113306815,-0.0195923888106,-0.0200235961983,-0.359132752339,0.326184797884,0.165486657576,0.493415495662,1.21847564565,-0.00970896801675,12
tcn,6,0.25,12,52092,-2.04285023052,-2.13505629918,-3.54799562368,0.32010389643,-0.299578205196,-0.311277064258,-0.520309673899,0.0453645488132,0.146617075463,0.48997926745,1.23021449231,-0.148455364013,12
transformer,6,0.25,12,52092,0.134638611098,0.0939427645491,-0.860180367038,1.06476510765,0.0228596794917,0.0158603595475,-0.145689912462,0.18428812913,0.170486688346,0.50662289795,0.820141928383,0.0113280672002,12
lightgbm,8,0.25,12,52092,1.11416826701,0.744691950364,0.0719802834549,2.43045846834,0.139875680996,0.093848204189,0.00897068763361,0.305007659671,0.12511871249,0.512017200338,0.240790332489,0.0693151063018,16
mlp,8,0.25,12,52092,-1.61713854468,-1.45678927748,-2.99970936385,-0.521172211013,-0.191835210024,-0.172895285325,-0.354319538278,-0.0632608025614,0.118676339979,0.496275819704,1.09353883514,-0.0950635441455,16
momentum_12,8,0.25,12,52092,-5.84293939657,-6.0411522461,-7.48882640233,-4.76324558904,-0.831665129831,-0.859323489702,-1.05953842033,-0.666966584444,0.14239885122,0.453946863242,1.23136470091,-0.412129946187,16
reversal_12,8,0.25,12,52092,2.05417734956,2.25924791454,0.998164813304,3.63535015525,0.292190488797,0.318808908904,0.141458297242,0.514001900412,0.142339371031,0.523765645397,1.23137909852,0.144794396332,16
ridge,8,0.25,12,52092,-0.144985072503,-0.0658240699164,-1.84824546416,2.23247898025,-0.0187535308932,-0.00940027475023,-0.247952308383,0.305152151677,0.136642237677,0.495239192198,1.04689779621,-0.00929327369948,16
tcn,8,0.25,12,52092,-2.00986908161,-2.01998562462,-3.66653540273,0.370776284721,-0.249631223298,-0.243018316063,-0.457594565387,0.0444327122704,0.123726632206,0.488885049528,1.05432695999,-0.123704239764,16
transformer,8,0.25,12,52092,0.120941759878,0.348086909093,-1.17829199862,0.916651253446,0.0169005819066,0.0494567241781,-0.170139682396,0.131207200476,0.144484775953,0.505624664056,0.678364720111,0.00837504863657,16
lightgbm,10,0.25,12,52092,0.873081773648,0.811897472477,-0.33395781627,2.05417009272,0.0905779877673,0.0839286662776,-0.034786193309,0.211478371425,0.10370282223,0.513533747984,0.200737157337,0.044885735719,20
mlp,10,0.25,12,52092,-1.87559815978,-1.79514970695,-2.95043602592,-1.11805874046,-0.194641356046,-0.185718448294,-0.306384959645,-0.11671224461,0.103857647453,0.494509713584,0.909832603855,-0.0964541240406,20
momentum_12,10,0.25,12,52092,-5.74659638756,-5.47329476547,-7.78125242166,-4.55169696008,-0.686332423242,-0.65891875423,-0.921669374172,-0.544033585456,0.119520089282,0.456096905475,1.03441987253,-0.340110622066,20
reversal_12,10,0.25,12,52092,1.93841804281,1.69487789519,0.710524600805,3.95969071672,0.231329632028,0.203981289838,0.0850158465782,0.469242800736,0.119517038868,0.52150042233,1.0345811257,0.114634923816,20
ridge,10,0.25,12,52092,-0.252765595979,-0.470505673923,-2.05323872258,3.22695361765,-0.0284906567264,-0.0531900862428,-0.235811201474,0.375760017542,0.116081248092,0.496448590954,0.872594640252,-0.0141184863983,20
tcn,10,0.25,12,52092,-2.056917235,-2.08602172672,-3.64162836757,-0.332117515891,-0.221091305465,-0.225054323219,-0.394200328146,-0.0346384632488,0.107259826977,0.489057820779,0.878388236197,-0.109561342126,20
transformer,10,0.25,12,52092,0.121332658143,0.151365363417,-1.23498700252,1.78291970683,0.0145280780149,0.0189639829278,-0.152367434313,0.217845187277,0.123329379654,0.50472241419,0.560350917607,0.00719935920807,20
lightgbm,1,0.5,12,52092,-1.08291440713,-1.07382483069,-2.61357702157,-0.0138561502159,-0.460906627095,-0.450607713265,-1.11740363147,-0.00582758540622,0.425289085629,0.511402902557,0.701988789065,-0.228401331988,2
mlp,1,0.5,12,52092,-2.44448136477,-2.22333181107,-4.1930918219,-1.21362481546,-0.840532089794,-0.786547995754,-1.46024679547,-0.428354176262,0.343119047357,0.492609229824,1.83346771097,-0.416523949977,2
momentum_12,1,0.5,12,52092,-3.69519694724,-3.58154774643,-5.06020205601,-2.52372683581,-1.88490025969,-1.84159744724,-2.55946775367,-1.30724320236,0.51081534689,0.45139368809,1.7792175382,-0.934058450608,2
reversal_12,1,0.5,12,52092,0.648467336774,0.492226631165,-0.484910736124,1.97996434779,0.328749032135,0.253595571043,-0.251212484273,1.00126736645,0.51082135451,0.526683559856,1.77904476695,0.162910907363,2
