model,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,0,0,4341,4.62908565932e-05,0.405507903756,0.216265499537,1.87504666544,0.515779774246,0.334830684174,0.200948608471
lightgbm,0,1,4341,2.51775660738e-05,0.220555478806,0.217649715318,1.01335064227,0.515549412578,0.336155263764,0.109295814326
lightgbm,0,2,4341,1.67512252526e-05,0.146740733213,0.213862744838,0.686144439621,0.518774475927,0.334427551255,0.0727170688214
lightgbm,0,3,4341,3.94859017352e-05,0.3458964992,0.21496291169,1.60909850207,0.514858327574,0.331778392076,0.171408299432
lightgbm,0,4,4341,9.45626758514e-06,0.0828369040458,0.210450559986,0.393616933362,0.509099285879,0.331605620825,0.0410496575871
lightgbm,0,5,4341,9.5497008746e-06,0.0836553796615,0.21501372363,0.389069954462,0.511633264225,0.328783690394,0.0414552514967
lightgbm,0,6,4341,-1.10091076615e-05,-0.0964397831151,0.21492284461,-0.448718158789,0.51739230592,0.343757198802,-0.0477905363587
lightgbm,0,7,4341,-3.76171445307e-06,-0.0329526186089,0.211467584603,-0.155828226207,0.514627965906,0.340820087537,-0.0163296024408
lightgbm,0,8,4341,1.49178621623e-07,0.00130680472542,0.211284532963,0.00618504680438,0.5132457959,0.335176226676,0.000647584396466
lightgbm,0,9,4341,-5.33555524248e-07,-0.00467394639241,0.213065619168,-0.021936652242,0.514397604239,0.333851647086,-0.00231616453076
lightgbm,0,10,4341,-5.68538292645e-06,-0.0498039544357,0.214051917641,-0.232672311393,0.512554710896,0.33529140751,-0.0246802472837
lightgbm,0,11,4341,4.12831372473e-05,0.361640282287,0.2168930765,1.66736664961,0.52269062428,0.334312370422,0.179210098791
lightgbm,1,0,4341,1.28077881758e-05,0.11219622442,0.216232994077,0.518867275082,0.507717115872,0.334830684174,0.055598608471
lightgbm,1,1,4341,-8.43796030262e-06,-0.0739165322509,0.217662586933,-0.339592271196,0.507717115872,0.336155263764,-0.0366291856737
lightgbm,1,2,4341,-1.6691529873e-05,-0.146217801687,0.213915150917,-0.68353176977,0.511402902557,0.334427551255,-0.0724579311786
lightgbm,1,3,4341,6.30806252761e-06,0.0552586277419,0.214857861913,0.257186901377,0.508408200875,0.331778392076,0.0273832994324
lightgbm,1,4,4341,-2.37042944973e-05,-0.207649619797,0.210528685781,-0.986324590526,0.501266989173,0.331605620825,-0.102900342413
lightgbm,1,5,4341,-2.33286681648e-05,-0.204359133124,0.215154263689,-0.949826090449,0.505643860862,0.328783690394,-0.101269748503
lightgbm,1,6,4341,-4.53848275417e-05,-0.397571089266,0.215003855918,-1.84913469374,0.510481455886,0.343757198802,-0.197015536359
lightgbm,1,7,4341,-3.78437232068e-05,-0.331511015292,0.211463339604,-1.56769970583,0.507717115872,0.340820087537,-0.164279602441
lightgbm,1,8,4341,-3.3368444046e-05,-0.292307569843,0.211298258108,-1.38338845033,0.506795669201,0.335176226676,-0.144852415604
lightgbm,1,9,4341,-3.39187202328e-05,-0.29712798924,0.21311008634,-1.39424648707,0.506334945865,0.333851647086,-0.147241164531
lightgbm,1,10,4341,-3.92145236774e-05,-0.343519227414,0.214098823552,-1.60448909394,0.505413499194,0.33529140751,-0.170230247284
lightgbm,1,11,4341,7.85190020517e-06,0.0687826457973,0.216943379817,0.317053444338,0.515088689242,0.334312370422,0.0340850987906
lightgbm,2,0,4341,-2.06752802416e-05,-0.181115454917,0.216269705461,-0.837451803665,0.501727712509,0.334830684174,-0.089751391529
lightgbm,2,1,4341,-4.2053486679e-05,-0.368388543308,0.217743858769,-1.69184355137,0.501727712509,0.336155263764,-0.182554185674
lightgbm,2,2,4341,-5.01342849985e-05,-0.439176336587,0.21403676745,-2.05187333849,0.503570605851,0.334427551255,-0.217632931179
lightgbm,2,3,4341,-2.68697766799e-05,-0.235379243716,0.214820853568,-1.09570016042,0.50057590417,0.331778392076,-0.116641700568
lightgbm,2,4,4341,-5.68648565798e-05,-0.498136143639,0.210673909829,-2.36448900599,0.493434692467,0.331605620825,-0.246850342413
lightgbm,2,5,4341,-5.62070372042e-05,-0.492373645909,0.215360544604,-2.28627600666,0.497581202488,0.328783690394,-0.243994748503
lightgbm,2,6,4341,-7.9760547422e-05,-0.698702395416,0.215156799496,-3.2474102471,0.500115180834,0.343757198802,-0.346240536359
lightgbm,2,7,4341,-7.19257319606e-05,-0.630069411974,0.211531889139,-2.97860249127,0.499654457498,0.340820087537,-0.312229602441
lightgbm,2,8,4341,-6.68860667136e-05,-0.585921944411,0.211380966329,-2.77187655345,0.500345542502,0.335176226676,-0.290352415604
lightgbm,2,9,4341,-6.73038849414e-05,-0.589582032087,0.213222923504,-2.76509684043,0.499654457498,0.333851647086,-0.292166164531
lightgbm,2,10,4341,-7.27436644284e-05,-0.637234500393,0.214213971019,-2.97475695615,0.498272287491,0.33529140751,-0.315780247284
lightgbm,2,11,4341,-2.5579336837e-05,-0.224074990692,0.217060286989,-1.03231684524,0.510942179221,0.334312370422,-0.111039901209
lightgbm,5,0,4341,-0.000121124485494,-1.06105049293,0.216794457562,-4.89426946084,0.483759502419,0.334830684174,-0.525801391529
lightgbm,5,1,4341,-0.000142900065808,-1.25180457648,0.218396990662,-5.73178491465,0.47938263073,0.336155263764,-0.620329185674
