fold,calibration_timestamp_count,test_timestamp_count,calibration_end_timestamp,validation_end,test_end,market_return_lower,market_return_upper,market_realized_volatility_lower,market_realized_volatility_upper,cross_sectional_dispersion_lower,cross_sectional_dispersion_upper
1,52980,16980,2025-12-31 23:55:00+00:00,2025-12-31 23:55:00+00:00,2026-02-28 23:55:00+00:00,-0.00193788387894,0.00205302806699,0.00507781342526,0.00733641726577,0.0028077304681,0.00408632451799
2,69972,17556,2026-02-28 23:55:00+00:00,2026-02-28 23:55:00+00:00,2026-04-30 23:55:00+00:00,-0.00195539977346,0.00200083852773,0.00504656174077,0.00728886448392,0.00280185003269,0.0040607552844
3,87540,17556,2026-04-30 23:55:00+00:00,2026-04-30 23:55:00+00:00,2026-06-30 23:55:00+00:00,-0.00186515162783,0.00188630403276,0.00484500152072,0.00698515721324,0.00273782479732,0.00395430073546
