model,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
reversal_12,0.0440668064672,0.0481203007519,0.31007253092,0.142117737216,0.556054672502,0.00878864617886,0.00582358006598,1041840,52092
transformer,0.0168335729212,0.018045112782,0.3262845796,0.0515916901186,0.518505720648,0.00448746469728,0.00291387396721,1041840,52092
lightgbm,0.013537118644,0.0198928670005,0.312684790796,0.0432931790815,0.513934001146,0.00438428613289,0.00280780960753,1041840,52092
mlp,0.0112871142428,0.0135338345865,0.263326851953,0.0428635141425,0.519062428012,0.00441533148298,0.00284630019854,1041840,52092
ridge,0.00971280700294,0.0105263157895,0.29133977891,0.0333384168797,0.512573907702,0.0043867221529,0.00280944434895,1041840,52092
tcn,0.00161125713583,0.00300808443907,0.270727044054,0.00595159283574,0.504492052522,0.00444654036369,0.00287820837475,1041840,52092
momentum_12,-0.0440668064672,-0.0481203007519,0.31007253092,-0.142117737216,0.442620747908,0.00886737997892,0.00592051764533,1041840,52092
