model,variant,removed_family,feature_count,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,full,,16,0,0,4341,4.62908565932e-05,0.405507903756,0.216265499537,1.87504666544,0.515779774246,0.334830684174,0.200948608471
lightgbm,full,,16,0,1,4341,2.51775660738e-05,0.220555478806,0.217649715318,1.01335064227,0.515549412578,0.336155263764,0.109295814326
lightgbm,full,,16,0,2,4341,1.67512252526e-05,0.146740733213,0.213862744838,0.686144439621,0.518774475927,0.334427551255,0.0727170688214
lightgbm,full,,16,0,3,4341,3.94859017352e-05,0.3458964992,0.21496291169,1.60909850207,0.514858327574,0.331778392076,0.171408299432
lightgbm,full,,16,0,4,4341,9.45626758514e-06,0.0828369040458,0.210450559986,0.393616933362,0.509099285879,0.331605620825,0.0410496575871
lightgbm,full,,16,0,5,4341,9.5497008746e-06,0.0836553796615,0.21501372363,0.389069954462,0.511633264225,0.328783690394,0.0414552514967
lightgbm,full,,16,0,6,4341,-1.10091076615e-05,-0.0964397831151,0.21492284461,-0.448718158789,0.51739230592,0.343757198802,-0.0477905363587
lightgbm,full,,16,0,7,4341,-3.76171445307e-06,-0.0329526186089,0.211467584603,-0.155828226207,0.514627965906,0.340820087537,-0.0163296024408
lightgbm,full,,16,0,8,4341,1.49178621623e-07,0.00130680472542,0.211284532963,0.00618504680438,0.5132457959,0.335176226676,0.000647584396466
lightgbm,full,,16,0,9,4341,-5.33555524248e-07,-0.00467394639241,0.213065619168,-0.021936652242,0.514397604239,0.333851647086,-0.00231616453076
lightgbm,full,,16,0,10,4341,-5.68538292645e-06,-0.0498039544357,0.214051917641,-0.232672311393,0.512554710896,0.33529140751,-0.0246802472837
lightgbm,full,,16,0,11,4341,4.12831372473e-05,0.361640282287,0.2168930765,1.66736664961,0.52269062428,0.334312370422,0.179210098791
lightgbm,full,,16,1,0,4341,1.28077881758e-05,0.11219622442,0.216232994077,0.518867275082,0.507717115872,0.334830684174,0.055598608471
