model,split,mean_fold_rank_ic,worst_fold_rank_ic,best_fold_rank_ic,mean_rank_ic_ir,mean_positive_timestamp_fraction,mean_rmse,mean_mae,total_rows
transformer,test,0.016822884934,0.00366296400467,0.0309494007092,0.0491988829548,0.518459200791,0.00444553835462,0.00291420864329,1041840
transformer,validation,0.0137311307526,0.00110532071533,0.028023099272,0.0426573334973,0.517893315476,0.00405844163492,0.00276347105446,511920
