model,permutation,mean_rank_ic,n_timestamps
lightgbm,1,-0.00184208244689,36637
lightgbm,2,-0.000777459368066,36637
lightgbm,3,0.000989805426025,36637
lightgbm,4,0.000792486206998,36637
lightgbm,5,0.00103239134632,36637
lightgbm,6,0.000771682534725,36637
lightgbm,7,-4.60650156087e-05,36637
lightgbm,8,0.000912826497313,36637
lightgbm,9,-0.000953563816806,36637
lightgbm,10,0.000110686634123,36637
lightgbm,11,-0.00177729803536,36637
lightgbm,12,0.00148448829286,36637
lightgbm,13,-0.00157812898971,36637
lightgbm,14,-0.00011156445463,36637
lightgbm,15,-0.00205763486867,36637
lightgbm,16,0.00027898495985,36637
lightgbm,17,-0.000775048186398,36637
lightgbm,18,-0.000445065749446,36637
lightgbm,19,1.32151450427e-05,36637
lightgbm,20,-0.00109877930681,36637
lightgbm,21,0.000849636413738,36637
lightgbm,22,0.00293675479209,36637
lightgbm,23,-0.00130611144872,36637
lightgbm,24,-0.000422540620704,36637
lightgbm,25,0.00216022365904,36637
lightgbm,26,0.000568974009244,36637
lightgbm,27,-0.000230009921653,36637
lightgbm,28,-0.00117195514753,36637
lightgbm,29,-0.000318472689456,36637
lightgbm,30,0.000129112699242,36637
lightgbm,31,0.00131861181044,36637
lightgbm,32,-3.05525029605e-05,36637
lightgbm,33,0.000485209540551,36637
lightgbm,34,0.000169079429676,36637
lightgbm,35,-0.00247910392661,36637
lightgbm,36,0.000761122450906,36637
lightgbm,37,-0.000206200584125,36637
lightgbm,38,0.00154046871976,36637
lightgbm,39,-0.00160850834583,36637
lightgbm,40,0.000594857219696,36637
lightgbm,41,0.000211222543148,36637
lightgbm,42,0.000732727829788,36637
lightgbm,43,0.00127076014227,36637
lightgbm,44,-0.0014219393557,36637
lightgbm,45,-0.00198939154868,36637
lightgbm,46,-0.00055697416186,36637
lightgbm,47,-0.00139587813643,36637
lightgbm,48,0.000243973586889,36637
lightgbm,49,0.000714782000294,36637
lightgbm,50,-0.00120120029254,36637
mlp,1,-0.00109228042473,52092
mlp,2,0.00116203591389,52092
mlp,3,0.000335750302122,52092
mlp,4,7.22386803109e-06,52092
mlp,5,0.000385846433958,52092
mlp,6,-0.000532451209478,52092
mlp,7,0.000378569749528,52092
mlp,8,0.000613386134284,52092
mlp,9,0.000911851374052,52092
mlp,10,0.00206888848883,52092
mlp,11,0.00112432168367,52092
mlp,12,0.00138029555391,52092
mlp,13,-3.05810455355e-06,52092
mlp,14,0.00106906896943,52092
mlp,15,-0.000316690426362,52092
mlp,16,8.90699691081e-05,52092
mlp,17,-0.000886924542981,52092
mlp,18,-0.000443956162872,52092
mlp,19,0.000799420559448,52092
mlp,20,-0.00133586079146,52092
mlp,21,-0.000603444462428,52092
mlp,22,0.00132401598963,52092
mlp,23,-0.00039235228961,52092
mlp,24,-0.000640285935125,52092
mlp,25,-0.00169316013307,52092
mlp,26,0.000928941233726,52092
mlp,27,-0.00022724499246,52092
mlp,28,0.00132926434005,52092
mlp,29,0.000278960117332,52092
mlp,30,0.00170295193333,52092
mlp,31,-0.000633128194852,52092
mlp,32,0.000549443588723,52092
mlp,33,0.00137285429767,52092
mlp,34,0.00136839823872,52092
mlp,35,0.000321943544337,52092
mlp,36,2.88617646937e-05,52092
mlp,37,0.000749951458605,52092
mlp,38,-0.000292828355645,52092
mlp,39,0.00140359367954,52092
mlp,40,0.000271461363863,52092
mlp,41,0.00113109881657,52092
mlp,42,-9.3126301108e-05,52092
mlp,43,0.00155545467469,52092
mlp,44,0.000149993602454,52092
mlp,45,-0.000651970701265,52092
mlp,46,0.00176958479041,52092
mlp,47,-0.000151000202772,52092
mlp,48,-0.000186808024146,52092
mlp,49,0.00211726440384,52092
mlp,50,-0.00138545259861,52092
momentum_12,1,-0.000306586046367,52092
momentum_12,2,0.000505630699546,52092
momentum_12,3,-0.000154006209272,52092
momentum_12,4,0.00180842078479,52092
momentum_12,5,0.00113227339948,52092
momentum_12,6,-0.000833985871392,52092
momentum_12,7,0.000513547897819,52092
momentum_12,8,0.00128828721535,52092
momentum_12,9,0.00106589357928,52092
momentum_12,10,0.0010474720513,52092
momentum_12,11,-4.05533207155e-05,52092
momentum_12,12,-5.24470103731e-05,52092
momentum_12,13,0.000375231168541,52092
momentum_12,14,-0.00030898711365,52092
momentum_12,15,0.00106948856948,52092
momentum_12,16,0.000764810696055,52092
momentum_12,17,-0.000333655267602,52092
momentum_12,18,-0.00030379781515,52092
momentum_12,19,-0.000667447978729,52092
momentum_12,20,-6.80318960597e-07,52092
momentum_12,21,0.0027750553936,52092
momentum_12,22,-0.00222282561662,52092
momentum_12,23,0.000343001104668,52092
momentum_12,24,-0.00115934764702,52092
momentum_12,25,0.000714577431125,52092
momentum_12,26,0.0016072531719,52092
momentum_12,27,0.000105055279276,52092
momentum_12,28,-0.000261024407956,52092
momentum_12,29,0.000356112431413,52092
momentum_12,30,0.000369691375657,52092
momentum_12,31,0.00128872265887,52092
momentum_12,32,-0.000317862290683,52092
momentum_12,33,-0.00111013609974,52092
momentum_12,34,0.000205709435914,52092
momentum_12,35,-0.00132054642868,52092
momentum_12,36,-0.00206206237863,52092
momentum_12,37,0.000403887938537,52092
momentum_12,38,-0.00177723558301,52092
momentum_12,39,-0.00112335833209,52092
momentum_12,40,-9.80635952938e-06,52092
momentum_12,41,-4.74241771421e-05,52092
momentum_12,42,0.00053418323874,52092
momentum_12,43,-5.04520682079e-05,52092
momentum_12,44,-0.000374135672307,52092
momentum_12,45,0.00083441912859,52092
momentum_12,46,0.000686096142491,52092
momentum_12,47,-0.00113330220745,52092
momentum_12,48,-0.000396732544419,52092
momentum_12,49,-0.000350092693843,52092
momentum_12,50,0.00169625690113,52092
reversal_12,1,0.000306586046367,52092
reversal_12,2,-0.000505630699546,52092
reversal_12,3,0.000154006209272,52092
reversal_12,4,-0.00180842078479,52092
reversal_12,5,-0.00113227339948,52092
reversal_12,6,0.000833985871392,52092
reversal_12,7,-0.000513547897819,52092
reversal_12,8,-0.00128828721535,52092
reversal_12,9,-0.00106589357928,52092
reversal_12,10,-0.0010474720513,52092
reversal_12,11,4.05533207155e-05,52092
reversal_12,12,5.24470103731e-05,52092
reversal_12,13,-0.000375231168541,52092
reversal_12,14,0.00030898711365,52092
reversal_12,15,-0.00106948856948,52092
reversal_12,16,-0.000764810696055,52092
reversal_12,17,0.000333655267602,52092
reversal_12,18,0.00030379781515,52092
reversal_12,19,0.000667447978729,52092
reversal_12,20,6.80318960597e-07,52092
reversal_12,21,-0.0027750553936,52092
reversal_12,22,0.00222282561662,52092
reversal_12,23,-0.000343001104668,52092
reversal_12,24,0.00115934764702,52092
reversal_12,25,-0.000714577431125,52092
reversal_12,26,-0.0016072531719,52092
reversal_12,27,-0.000105055279276,52092
reversal_12,28,0.000261024407956,52092
reversal_12,29,-0.000356112431413,52092
reversal_12,30,-0.000369691375657,52092
reversal_12,31,-0.00128872265887,52092
reversal_12,32,0.000317862290683,52092
reversal_12,33,0.00111013609974,52092
reversal_12,34,-0.000205709435914,52092
reversal_12,35,0.00132054642868,52092
reversal_12,36,0.00206206237863,52092
reversal_12,37,-0.000403887938537,52092
reversal_12,38,0.00177723558301,52092
reversal_12,39,0.00112335833209,52092
reversal_12,40,9.80635952938e-06,52092
reversal_12,41,4.74241771421e-05,52092
reversal_12,42,-0.00053418323874,52092
reversal_12,43,5.04520682079e-05,52092
reversal_12,44,0.000374135672307,52092
reversal_12,45,-0.00083441912859,52092
reversal_12,46,-0.000686096142491,52092
reversal_12,47,0.00113330220745,52092
reversal_12,48,0.000396732544419,52092
reversal_12,49,0.000350092693843,52092
reversal_12,50,-0.00169625690113,52092
ridge,1,0.000705287837852,52092
ridge,2,0.000623348735869,52092
ridge,3,0.000179736203153,52092
ridge,4,0.00112521950857,52092
ridge,5,0.00115690344906,52092
ridge,6,-0.000897304450442,52092
ridge,7,-0.000932753252869,52092
ridge,8,-4.02019631892e-05,52092
ridge,9,-7.31649649187e-05,52092
ridge,10,0.000649470730211,52092
ridge,11,-0.000263137273009,52092
ridge,12,0.000650480696414,52092
ridge,13,-0.000123623841505,52092
ridge,14,-0.00125775805877,52092
ridge,15,0.000575876873646,52092
ridge,16,-0.00201562910133,52092
ridge,17,0.00149681781148,52092
ridge,18,-0.000264636577393,52092
ridge,19,0.000522573366388,52092
ridge,20,-0.00102150353366,52092
ridge,21,-0.00134855105923,52092
ridge,22,-0.00116709096054,52092
ridge,23,0.00189750690751,52092
ridge,24,0.00121741521017,52092
ridge,25,-0.000709860704321,52092
ridge,26,-0.000509015305028,52092
ridge,27,0.000277958277845,52092
ridge,28,0.000236134822813,52092
ridge,29,0.00149118087746,52092
ridge,30,-0.000692610160132,52092
ridge,31,-0.000950050047459,52092
ridge,32,-0.00050601806088,52092
ridge,33,-0.00064100962617,52092
ridge,34,-0.00112181238922,52092
ridge,35,0.000643183913659,52092
ridge,36,-0.00038798024022,52092
ridge,37,-0.000183242204101,52092
ridge,38,-0.000392562709005,52092
ridge,39,6.92740449308e-05,52092
ridge,40,-0.00112206438215,52092
ridge,41,3.5925942316e-05,52092
ridge,42,-0.00107536392813,52092
ridge,43,-0.00275409422232,52092
ridge,44,-0.000780215653095,52092
ridge,45,8.94978419164e-06,52092
ridge,46,-0.000388058223958,52092
ridge,47,0.000453997775169,52092
ridge,48,-0.000580060489167,52092
ridge,49,-0.000726811145336,52092
ridge,50,0.00176677962506,52092
tcn,1,-0.00147263040691,52092
tcn,2,0.000634944547094,52092
tcn,3,0.000457660666613,52092
tcn,4,-0.00188598766535,52092
tcn,5,3.98380818289e-05,52092
tcn,6,8.52812966598e-05,52092
tcn,7,0.000852152689313,52092
tcn,8,0.000182695019845,52092
tcn,9,-0.00166334870091,52092
tcn,10,-0.00121822619664,52092
tcn,11,-0.000556686519018,52092
tcn,12,-0.000653798304611,52092
tcn,13,-0.000544122503245,52092
tcn,14,0.000510832258522,52092
tcn,15,0.00085752079068,52092
tcn,16,0.000143663577298,52092
tcn,17,-0.000525361566735,52092
tcn,18,-0.000441596509778,52092
tcn,19,-0.000986387913671,52092
tcn,20,-0.00177771268504,52092
tcn,21,0.000439992565412,52092
tcn,22,-0.000510582026559,52092
tcn,23,-0.00108208963985,52092
tcn,24,-0.000608157531462,52092
tcn,25,0.000856274027985,52092
tcn,26,-0.000366024594278,52092
tcn,27,0.00109034781511,52092
tcn,28,0.000182583947446,52092
tcn,29,0.00131341809718,52092
tcn,30,0.000457192855453,52092
tcn,31,0.00282586706476,52092
tcn,32,0.000694882801497,52092
tcn,33,0.000296301028399,52092
tcn,34,0.000141122938461,52092
tcn,35,-0.000350839857882,52092
tcn,36,0.000605285954573,52092
tcn,37,-0.000424389732405,52092
tcn,38,-0.000149675801924,52092
tcn,39,-0.000630934700324,52092
tcn,40,-0.000520599828381,52092
tcn,41,5.56591641929e-05,52092
tcn,42,-0.00177942603565,52092
tcn,43,-0.000482394158315,52092
tcn,44,0.000365220687059,52092
tcn,45,-0.000804886776295,52092
tcn,46,-0.000308941469576,52092
tcn,47,0.00169024403227,52092
tcn,48,0.000800764457596,52092
tcn,49,0.00019857873165,52092
tcn,50,-0.0015980707231,52092
transformer,1,-0.00142099783987,52092
transformer,2,-0.00173229764207,52092
transformer,3,0.000578256814588,52092
transformer,4,0.000574281794694,52092
transformer,5,0.000997438811724,52092
transformer,6,0.0020260129974,52092
transformer,7,-0.000496213164722,52092
transformer,8,-0.00131316003939,52092
transformer,9,-0.00132310093961,52092
transformer,10,-0.000652845773602,52092
transformer,11,-0.00192511827731,52092
transformer,12,0.000146760770067,52092
transformer,13,0.000385925236093,52092
transformer,14,0.00026664978388,52092
transformer,15,-0.000944605193418,52092
transformer,16,0.000616126036102,52092
transformer,17,-0.00165810636753,52092
transformer,18,0.000380333891427,52092
transformer,19,-0.000354853795156,52092
transformer,20,-0.000744053677153,52092
transformer,21,-0.00143985272833,52092
transformer,22,0.00226770833598,52092
transformer,23,-0.00116404352291,52092
transformer,24,-0.000312886771164,52092
transformer,25,0.00126391420362,52092
transformer,26,0.00197398934789,52092
transformer,27,-0.00148756749122,52092
transformer,28,0.000853560711439,52092
transformer,29,-0.000202364598084,52092
transformer,30,-0.00096005825661,52092
transformer,31,0.000474013808778,52092
transformer,32,-0.00119940226378,52092
transformer,33,-0.00162337111327,52092
transformer,34,-7.05105124723e-05,52092
transformer,35,0.000213544004347,52092
transformer,36,1.22034885291e-05,52092
transformer,37,2.76390271634e-05,52092
transformer,38,0.000955325590721,52092
transformer,39,0.000273757479066,52092
transformer,40,0.00162161822993,52092
transformer,41,0.00202757039271,52092
transformer,42,0.00213348762646,52092
transformer,43,0.00106825660027,52092
transformer,44,0.00170091930161,52092
transformer,45,-0.000482183447906,52092
transformer,46,0.000654667966903,52092
transformer,47,-0.000344897496539,52092
transformer,48,-0.000521128148729,52092
transformer,49,-0.00141672049436,52092
transformer,50,0.000903113728939,52092
