model,fold,split,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
transformer,1,test,0.015856290088,0.0165413533835,0.361509302042,0.0438613612387,0.514252061249,0.0044028202348,0.00294447591145,339600,16980
transformer,1,validation,0.028023099272,0.0315848866102,0.342617470882,0.081791215141,0.533759533423,0.00382527557303,0.00265006972359,178320,8916
transformer,2,test,0.0309494007092,0.0345864661654,0.344004182678,0.0899680941908,0.53354978355,0.00372657392117,0.00253872607775,351120,17556
transformer,2,validation,0.0120649722704,0.015037593985,0.287440507147,0.0419738066502,0.518877297566,0.00465859772419,0.00308326123106,161040,8052
transformer,3,test,0.00366296400467,0.00601503759398,0.266064686459,0.0137671934349,0.507575757576,0.00520722090788,0.00325942394067,351120,17556
transformer,3,validation,0.00110532071533,0.0015037593985,0.26273503955,0.00420697870076,0.501043115438,0.00369145160755,0.00255708220872,172560,8628
