model,fold,month,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
lightgbm,1,2026-01,0,8928,12,-0.00334114794394,4473.75,0.501092069892,-0.00746833851676,-3.74232520602e-07,-3.74232520602e-07,-3.74232520602e-07,-0.00327827688047,-0.00327827688047,-0.712852332667,0.534736385347,0.416666666667
lightgbm,1,2026-01,0.5,8928,12,-0.00334114794394,4473.75,0.501092069892,-0.00746833851676,-3.74232520602e-07,-2.54288360152e-05,-2.54288360152e-05,-0.222756603493,-0.222756603493,-0.931410800409,0.318827111153,0.25
lightgbm,1,2026-01,1,8928,12,-0.00334114794394,4473.75,0.501092069892,-0.00746833851676,-3.74232520602e-07,-5.04834395098e-05,-5.04834395098e-05,-0.442234930106,-0.442234930106,-1.14996926815,0.102917836959,0.0833333333333
lightgbm,1,2026-02,0,8052,12,-0.754893276631,4971.5,0.617424242424,-1.51844167079,-9.3752269825e-05,-9.3752269825e-05,-9.3752269825e-05,-0.821269883667,-0.821269883667,-1.39701481579,-0.324668097739,0
lightgbm,1,2026-02,0.5,8052,12,-0.754893276631,4971.5,0.617424242424,-1.51844167079,-9.3752269825e-05,-0.000124623481946,-0.000124623481946,-1.09170170185,-1.09170170185,-1.67166235677,-0.593604014281,0
lightgbm,1,2026-02,1,8052,12,-0.754893276631,4971.5,0.617424242424,-1.51844167079,-9.3752269825e-05,-0.000155494694067,-0.000155494694067,-1.36213352003,-1.36213352003,-1.94630989776,-0.862539930824,0
lightgbm,2,2026-03,0,8928,12,1.01359592483,3345,0.374663978495,3.03018213701,0.000113530009502,0.000113530009502,0.000113530009502,0.994522883235,0.994522883235,0.420507303392,1.54169299878,1
lightgbm,2,2026-03,0.5,8928,12,1.01359592483,3345,0.374663978495,3.03018213701,0.000113530009502,9.4796810577e-05,9.4796810577e-05,0.830420060655,0.830420060655,0.256993190488,1.37979783749,1
lightgbm,2,2026-03,1,8928,12,1.01359592483,3345,0.374663978495,3.03018213701,0.000113530009502,7.60636116523e-05,7.60636116523e-05,0.666317238074,0.666317238074,0.0934790775853,1.2179026762,1
lightgbm,2,2026-04,0,8628,12,-0.798956121835,1953.75,0.226442976356,-4.08934675283,-9.26003850063e-05,-9.26003850063e-05,-9.26003850063e-05,-0.811179372655,-0.811179372655,-1.01143802778,-0.536780371173,0
lightgbm,2,2026-04,0.5,8628,12,-0.798956121835,1953.75,0.226442976356,-4.08934675283,-9.26003850063e-05,-0.000103922533824,-0.000103922533824,-0.910361396299,-0.910361396299,-1.10540395267,-0.635772026249,0
lightgbm,2,2026-04,1,8628,12,-0.798956121835,1953.75,0.226442976356,-4.08934675283,-9.26003850063e-05,-0.000115244682642,-0.000115244682642,-1.00954341994,-1.00954341994,-1.19936987757,-0.734763681326,0
lightgbm,3,2026-05,0,8928,12,-0.778251919946,806.5,0.090333781362,-9.64974482264,-8.71697939007e-05,-8.71697939007e-05,-8.71697939007e-05,-0.76360739457,-0.76360739457,-1.24045792291,-0.252219555878,0
lightgbm,3,2026-05,0.5,8928,12,-0.778251919946,806.5,0.090333781362,-9.64974482264,-8.71697939007e-05,-9.16864829688e-05,-9.16864829688e-05,-0.803173590807,-0.803173590807,-1.28152042291,-0.290191330071,0
lightgbm,3,2026-05,1,8928,12,-0.778251919946,806.5,0.090333781362,-9.64974482264,-8.71697939007e-05,-9.62031720369e-05,-9.62031720369e-05,-0.842739787043,-0.842739787043,-1.32258292291,-0.328163104265,0
lightgbm,3,2026-06,0,8628,12,2.04746237423,1903.75,0.220647890589,10.7548910006,0.000237304401279,0.000237304401279,0.000237304401279,2.0787865552,2.0787865552,1.39488346411,2.68373492523,1
lightgbm,3,2026-06,0.5,8628,12,2.04746237423,1903.75,0.220647890589,10.7548910006,0.000237304401279,0.000226272006749,0.000226272006749,1.98214277912,1.98214277912,1.30259278261,2.58093589881,1
lightgbm,3,2026-06,1,8628,12,2.04746237423,1903.75,0.220647890589,10.7548910006,0.000237304401279,0.00021523961222,0.00021523961222,1.88549900304,1.88549900304,1.21030210111,2.47813687238,1
mlp,1,2026-01,0,8928,12,0.608217630409,13330,1.49305555556,0.456277292129,6.81247345888e-05,6.81247345888e-05,6.81247345888e-05,0.596772674998,0.596772674998,-0.406352484946,1.69650466795,0.833333333333
