model,fold,epoch,train_loss,validation_loss,validation_mean_rank_ic,selected
tcn,1,1,0.000214077599247,1.89359626031e-05,0.00854881374513,False
tcn,1,2,3.20929719439e-05,1.48566981823e-05,0.00720856290935,False
tcn,1,3,2.89413470436e-05,1.42589567795e-05,0.0113171678516,True
tcn,1,4,2.83950549305e-05,1.41671047362e-05,0.00914682461829,False
tcn,1,5,2.81926582522e-05,1.4140154726e-05,-0.00456124575755,False
tcn,2,1,0.00012476144026,2.2904762249e-05,0.002421422211,True
tcn,2,2,2.53581925733e-05,2.17708316878e-05,-0.00138417393458,False
tcn,2,3,2.46360108013e-05,2.15337589505e-05,-0.000295333655716,False
tcn,3,1,0.000110971071398,1.29065258096e-05,-0.0114327634667,False
tcn,3,2,2.38425784259e-05,1.24723928862e-05,-0.00952854631125,False
tcn,3,3,2.32185778028e-05,1.23835492513e-05,0.00403552753386,True
tcn,3,4,2.30850981579e-05,1.23478310786e-05,-0.00609864321687,False
tcn,3,5,2.30509393687e-05,1.24402885765e-05,-0.0114865328335,False
