model,top_count,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,1,0,0,4341,-1.67901693524e-05,-0.147081883527,0.427907859772,-0.343723257631,0.51531905091,0.69062428012,-0.0728861251586
lightgbm,1,0,1,4341,-3.63485853234e-06,-0.0318413607433,0.429482697421,-0.0741388673735,0.515779774246,0.703985256853,-0.0157789208889
lightgbm,1,0,2,4341,-1.66572973153e-05,-0.145917924482,0.411694247625,-0.354432750334,0.526146049297,0.69799585349,-0.0723093276458
lightgbm,1,0,3,4341,3.43382059494e-05,0.300802684117,0.42062800511,0.715127572255,0.520387007602,0.7000691085,0.149062152026
lightgbm,1,0,4,4341,-2.2865228161e-05,-0.200299398691,0.415090084066,-0.482544407538,0.513015434232,0.694770790141,-0.0992579554471
lightgbm,1,0,5,4341,-2.84390458916e-05,-0.249126042011,0.424637209753,-0.586679726338,0.515549412578,0.706979958535,-0.123453898216
lightgbm,1,0,6,4341,-9.16671443311e-05,-0.803004184341,0.427511855393,-1.87832027161,0.509560009214,0.717806956922,-0.397927073541
lightgbm,1,0,7,4341,-7.64793229823e-06,-0.0669958869325,0.428116340269,-0.156489908538,0.513706519235,0.711817553559,-0.0331996741066
lightgbm,1,0,8,4341,3.1759457026e-05,0.278212843547,0.426177772285,0.652809371206,0.511633264225,0.709974660217,0.13786780295
lightgbm,1,0,9,4341,-7.8930242207e-05,-0.691428921733,0.429469800161,-1.60995935331,0.516701220917,0.695692236812,-0.34263618142
lightgbm,1,0,10,4341,-3.68204039171e-05,-0.322546738313,0.430156623828,-0.749835572549,0.518083390924,0.696383321815,-0.159837373404
lightgbm,1,0,11,4341,2.71689912446e-05,0.238000363303,0.432567542492,0.550203933313,0.523612070951,0.697765491822,0.117940590993
lightgbm,1,0.25,0,4341,-3.40557763554e-05,-0.298328600873,0.427885855086,-0.697215384259,0.512785072564,0.69062428012,-0.147836125159
lightgbm,1,0.25,1,4341,-2.12344899537e-05,-0.186014131994,0.429482123063,-0.433112630317,0.513476157567,0.703985256853,-0.0921789208889
lightgbm,1,0.25,2,4341,-3.41071936526e-05,-0.298779016397,0.411710488028,-0.725701737227,0.523612070951,0.69799585349,-0.148059327646
lightgbm,1,0.25,3,4341,1.68364782369e-05,0.147487549355,0.420599255893,0.350660509473,0.519004837595,0.7000691085,0.0730871520264
lightgbm,1,0.25,4,4341,-4.02344979146e-05,-0.352454201732,0.41508484989,-0.849113625382,0.511633264225,0.694770790141,-0.174657955447
lightgbm,1,0.25,5,4341,-4.6113544855e-05,-0.40395465293,0.424672988721,-0.951213436359,0.511633264225,0.706979958535,-0.200178898216
lightgbm,1,0.25,6,4341,-0.000109612318254,-0.960203907907,0.427521488319,-2.24597811839,0.508408200875,0.717806956922,-0.475827073541
lightgbm,1,0.25,7,4341,-2.54433711372e-05,-0.222883931162,0.428104475801,-0.520629761567,0.510251094218,0.711817553559,-0.110449674107
lightgbm,1,0.25,8,4341,1.40100905205e-05,0.12272839296,0.426158151717,0.287987904175,0.509099285879,0.709974660217,0.0608178029497
lightgbm,1,0.25,9,4341,-9.63225481273e-05,-0.843785521595,0.429448684309,-1.96481105293,0.514167242571,0.695692236812,-0.41813618142
lightgbm,1,0.25,10,4341,-5.42299869624e-05,-0.475054685791,0.430160406785,-1.10436636728,0.514627965906,0.696383321815,-0.235412373404
lightgbm,1,0.25,11,4341,9.72485394906e-06,0.0851897205938,0.43258410636,0.196932155716,0.522460262612,0.697765491822,0.0422155909929
lightgbm,1,0.5,0,4341,-5.13213833584e-05,-0.449575318219,0.427870723471,-1.05072699196,0.51002073255,0.69062428012,-0.222786125159
lightgbm,1,0.5,1,4341,-3.8834121375e-05,-0.340186903245,0.429488494276,-0.792074543973,0.51002073255,0.703985256853,-0.168578920889
lightgbm,1,0.5,2,4341,-5.15570899898e-05,-0.451640108311,0.411733772033,-1.09692266943,0.520847730938,0.69799585349,-0.223809327646
lightgbm,1,0.5,3,4341,-6.65249475596e-07,-0.00582758540622,0.420577528059,-0.0138561502159,0.517161944252,0.7000691085,-0.00288784797356
lightgbm,1,0.5,4,4341,-5.76037676681e-05,-0.504609004772,0.41508658931,-1.2156716641,0.509099285879,0.694770790141,-0.250057955447
lightgbm,1,0.5,5,4341,-6.37880438184e-05,-0.558783263849,0.424715730844,-1.31566415668,0.508638562543,0.706979958535,-0.276903898216
lightgbm,1,0.5,6,4341,-0.000127557492177,-1.11740363147,0.427538053117,-2.61357702157,0.505874222529,0.717806956922,-0.553727073541
lightgbm,1,0.5,7,4341,-4.32388099762e-05,-0.378771975391,0.428099590491,-0.884775374247,0.506795669201,0.711817553559,-0.187699674107
lightgbm,1,0.5,8,4341,-3.73927598487e-06,-0.0327560576274,0.426145605012,-0.0768658816193,0.506795669201,0.709974660217,-0.0162321970503
lightgbm,1,0.5,9,4341,-0.000113714854048,-0.996142121457,0.429434415123,-2.31966066616,0.511402902557,0.695692236812,-0.49363618142
lightgbm,1,0.5,10,4341,-7.16395700078e-05,-0.627562633268,0.430171051565,-1.45886765505,0.511172540889,0.696383321815,-0.310987373404
lightgbm,1,0.5,11,4341,-7.71928334649e-06,-0.0676209221153,0.432607474242,-0.156310110531,0.519004837595,0.697765491822,-0.0335094090071
lightgbm,1,1,0,4341,-8.58525973643e-05,-0.752068752912,0.427861082038,-1.7577405015,0.503800967519,0.69062428012,-0.372686125159
lightgbm,1,1,1,4341,-7.40333842177e-05,-0.648532445747,0.429522071836,-1.50989317726,0.504261690855,0.703985256853,-0.321378920889
lightgbm,1,1,2,4341,-8.64568826643e-05,-0.757362292139,0.411801465708,-1.83914423626,0.516931582585,0.69799585349,-0.375309327646
lightgbm,1,1,3,4341,-3.56687049006e-05,-0.312457854929,0.420555140545,-0.742965249513,0.512785072564,0.7000691085,-0.154837847974
lightgbm,1,1,4,4341,-9.23423071751e-05,-0.808918610854,0.415110988236,-1.94868031389,0.501497350841,0.694770790141,-0.400857955447
lightgbm,1,1,5,4341,-9.91370417451e-05,-0.868440485687,0.424822095806,-2.04424509521,0.503570605851,0.706979958535,-0.430353898216
lightgbm,1,1,6,4341,-0.000163447840023,-1.4318030786,0.427591974768,-3.34852654656,0.501036627505,0.717806956922,-0.709527073541
lightgbm,1,1,7,4341,-7.88296876541e-05,-0.69054806385,0.428110757962,-1.61301263986,0.501036627505,0.711817553559,-0.342199674107
lightgbm,1,1,8,4341,-3.92380089957e-05,-0.343724958802,0.426141735337,-0.806597735681,0.501266989173,0.709974660217,-0.17033219705
lightgbm,1,1,9,4341,-0.000148499465888,-1.30085532118,0.429426419154,-3.0292857243,0.50794747754,0.695692236812,-0.64463618142
lightgbm,1,1,10,4341,-0.000106458736099,-0.932578528224,0.430212924227,-2.16771388237,0.506334945865,0.696383321815,-0.462137373404
lightgbm,1,1,11,4341,-4.26075579376e-05,-0.373242207533,0.432674617318,-0.862639481481,0.515549412578,0.697765491822,-0.184959409007
